entity1,relation,entity2
land reform noun,hypernym,reform noun
cover verb,derivationally related form,covering noun
botany noun,derivationally related form,botanize verb
kamet noun,instance hypernym,mountain peak noun
question noun,derivationally related form,ask verb
arachnida noun,derivationally related form,arachnoid adjective
hoist verb,hypernym,raise verb
empathy noun,hypernym,sympathy noun
disengagement noun,hypernym,retreat noun
mutant noun,derivationally related form,deviate verb
equisetum noun,hypernym,fern genus noun
write verb,also see,write out verb
queen noun,hypernym,female aristocrat noun
working dog noun,hypernym,dog noun
charge noun,hypernym,request noun
primulaceae noun,member meronym,glaux noun
proteaceae noun,member meronym,bartle frere noun
lodge verb,derivationally related form,accommodation noun
subduer noun,hypernym,restrainer noun
piciformes noun,hypernym,animal order noun
check noun,derivationally related form,nick verb
badmouth verb,derivationally related form,defamation noun
propagator noun,derivationally related form,circulate verb
lace noun,derivationally related form,lace verb
department of justice noun,hypernym,executive department noun
needlewood noun,hypernym,shrub noun
expand verb,hypernym,grow verb
sieve noun,derivationally related form,sift verb
scandal noun,derivationally related form,shock verb
common booklouse noun,hypernym,booklouse noun
taiwan noun,member meronym,taiwanese noun
revetment noun,derivationally related form,revet verb
striker noun,derivationally related form,strike verb
hitch noun,hypernym,connection noun
pious adjective,derivationally related form,piety noun
sisyrinchium noun,hypernym,liliid monocot genus noun
valence noun,synset domain topic of,biology noun
eulogist noun,derivationally related form,encomium noun
carya noun,member meronym,pecan noun
army officer noun,hypernym,military officer noun
agathis noun,hypernym,gymnosperm genus noun
carob noun,has part,carob noun
prairie mimosa noun,hypernym,herb noun
fabricate verb,hypernym,think up verb
abstract verb,hypernym,see verb
tank verb,derivationally related form,tank noun
run out verb,hypernym,consume verb
neuter noun,derivationally related form,alter verb
ethicist noun,derivationally related form,ethics noun
acetylation noun,derivationally related form,acetylate verb
pose verb,hypernym,behave verb
homework noun,derivationally related form,train verb
ethnic slur noun,member of domain usage,wop noun
arrhenatherum noun,hypernym,plant genus noun
disparage verb,derivationally related form,detractor noun
flap noun,derivationally related form,roll verb
europe noun,has part,estonia noun
kit noun,derivationally related form,equip verb
intensify verb,derivationally related form,intensification noun
papaya noun,hypernym,edible fruit noun
casablanca noun,instance hypernym,city noun
mention verb,derivationally related form,name noun
constitutionalist noun,hypernym,advocate noun
balsa noun,hypernym,angiospermous tree noun
adagio noun,synset domain topic of,music noun
average noun,hypernym,ratio noun
france noun,member of domain region,sextillion noun
fill verb,also see,shade verb
folding chair noun,has part,rung noun
kiloliter noun,hypernym,metric capacity unit noun
spouse noun,derivationally related form,copulate verb
slant verb,derivationally related form,slant noun
tactician noun,derivationally related form,tactics noun
announcer noun,hypernym,broadcaster noun
abator noun,derivationally related form,slake verb
ontology noun,hypernym,arrangement noun
water heater noun,hypernym,tank noun
nip verb,derivationally related form,clipper noun
cuppa noun,hypernym,tea noun
evolution noun,derivationally related form,develop verb
prairie bird's-foot trefoil noun,hypernym,subshrub noun
ache noun,derivationally related form,hurt verb
entrust verb,derivationally related form,confidence noun
resumption noun,derivationally related form,recommence verb
bridle noun,hypernym,restraint noun
appeal verb,derivationally related form,appeal noun
navy yard noun,synset domain topic of,military noun
receiver noun,derivationally related form,pick up verb
kindling noun,derivationally related form,kindle verb
orientalism noun,hypernym,humanistic discipline noun
recruiter noun,derivationally related form,recruit verb
hydrophyllaceae noun,member meronym,hydrophyllum noun
leonotis noun,hypernym,asterid dicot genus noun
digest verb,derivationally related form,condenser noun
afghani adjective,derivationally related form,afghanistan noun
overhaul noun,hypernym,care noun
soy sauce noun,hypernym,condiment noun
africa noun,has part,benin noun
plane noun,derivationally related form,plane verb
defense noun,hypernym,team noun
oblique adjective,also see,convergent adjective
paint verb,derivationally related form,painting noun
attest verb,hypernym,testify verb
palatopharyngoplasty noun,hypernym,operation noun
energizer noun,derivationally related form,vitalize verb
meeting noun,derivationally related form,find verb
remedy verb,synset domain topic of,medicine noun
wheat noun,hypernym,grain noun
reason verb,derivationally related form,reason noun
character set noun,hypernym,list noun
attack noun,hypernym,operation noun
correct adjective,also see,proper adjective
genus tamandua noun,member meronym,tamandua noun
finance noun,hypernym,economics noun
generality noun,hypernym,quality noun
expatiation noun,hypernym,expansion noun
titanium noun,synset domain topic of,airplane noun
lunge verb,derivationally related form,lurch noun
primates noun,hypernym,animal order noun
shellac noun,hypernym,varnish noun
decelerate verb,hypernym,change verb
theology noun,synset domain topic of,theology noun
labial stop noun,hypernym,stop consonant noun
scutigerella noun,member meronym,garden centipede noun
adequacy noun,derivationally related form,adequate adjective
composite noun,hypernym,flower noun
morning noun,hypernym,time period noun
explain verb,derivationally related form,explication noun
lawsuit noun,derivationally related form,action verb
galbraith noun,instance hypernym,economist noun
rome noun,member meronym,roman noun
disguise noun,derivationally related form,camouflage verb
sensitizing noun,hypernym,immunization noun
antidorcas noun,hypernym,mammal genus noun
finding noun,hypernym,object noun
name noun,hypernym,language unit noun
follow-up noun,derivationally related form,follow up verb
india noun,has part,himalayas noun
think verb,derivationally related form,think noun
license verb,derivationally related form,license noun
barbarea noun,hypernym,dilleniid dicot genus noun
alpha-beta brass noun,hypernym,brass noun
gambling noun,hypernym,vice noun
zizania noun,hypernym,monocot genus noun
station noun,synset domain topic of,navy noun
work verb,hypernym,stimulate verb
side noun,synset domain topic of,animal noun
baphia noun,hypernym,rosid dicot genus noun
impress verb,derivationally related form,impressive adjective
hippoboscidae noun,hypernym,arthropod family noun
underscore verb,hypernym,stress verb
mastership noun,hypernym,position noun
assurance noun,hypernym,insurance noun
doubling noun,derivationally related form,double verb
half mile noun,hypernym,linear unit noun
recorder noun,derivationally related form,record verb
merrymaking noun,hypernym,celebration noun
tenant verb,hypernym,populate verb
grow verb,derivationally related form,acquiring noun
chloroform noun,hypernym,haloform noun
job noun,hypernym,product noun
dream noun,derivationally related form,dream verb
lectureship noun,derivationally related form,lecture noun
inform verb,hypernym,inform verb
rich adjective,derivationally related form,profusion noun
chlamydia noun,hypernym,venereal disease noun
summon verb,derivationally related form,evocation noun
whisperer noun,derivationally related form,whisper verb
galvanizer noun,derivationally related form,revolutionize verb
splotch verb,hypernym,spot verb
levy noun,derivationally related form,recruit verb
child noun,hypernym,offspring noun
stopping point noun,hypernym,end noun
privation noun,hypernym,poverty noun
expansive adjective,derivationally related form,expand verb
deflect verb,hypernym,turn verb
clipper noun,derivationally related form,nip verb
